DRUG_ID,DRUG_NAME,INDICATION_FDB
3377,neridronic acid,Osteoporosis
1431,incadronic acid,Osteoporosis
3052,butedronic acid,Osteoporosis
3377,neridronic acid,Humoral hypercalcemia of malignancy
5014,brexpiprazole,Schizophrenia
5014,brexpiprazole,Major depressive disorder
5015,pegvisomant,Acromegaly
1405,ibopamine,Heart failure
1402,hyoscyamine,Peptic ulcer
4989,velaglucerase alfa,Chronic non neuropathic Gaucher's disease
1999,orphenadrine,Parkinsonism
4990,trastuzumab emtansine,HER2 positive carcinoma of breast
4991,lipegfilgrastim,Chemotherapy induced neutropenia
1854,moxifloxacin,Pneumonic plague
1854,moxifloxacin,Septicemic plague
4994,rasburicase,Hyperuricemia
4424,candicidin,Candidiasis of vagina
4848,somatropin,Prader Willi syndrome
4848,somatropin,Pituitary dwarfism
4848,somatropin,Turner syndrome
4995,epoetin alfa,Anemia in chronic kidney disease
4995,epoetin alfa,Anemia due to chemotherapy
4996,romiplostim,Chronic idiopathic thrombocytopenic purpura
4997,laronidase,"Mucopolysaccharidosis, MPS I"
4998,aluminum acetate,Skin irritation
4999,elosulfase alfa,"Mucopolysaccharidosis, MPS IV A"
5000,evolocumab,Hypercholesterolemia
5000,evolocumab,Complex dyslipidemia
471,camostat,Gastro esophageal reflux disease with esophagitis
2853,xipamide,Hypertensive disorder
2853,xipamide,Edema
1618,lumiracoxib,Osteoarthritis
266,azapropazone,Osteoarthritis
266,azapropazone,Gout
266,azapropazone,Rheumatoid arthritis
266,azapropazone,Ankylosing spondylitis
4986,pegfilgrastim,Chemotherapy induced neutropenia
4987,filgrastim,Chemotherapy induced neutropenia
4987,filgrastim,Congenital neutropenia
4987,filgrastim,Cyclical neutropenia
4987,filgrastim,Chronic idiopathic neutropenia
1193,flufenamic acid,Pain
2093,penthienate,Peptic ulcer
2093,penthienate,Gastric spasm
2226,poldine,Peptic ulcer
1778,metipamide,Hypertensive disorder
3312,ivabradine,Chronic heart failure
4976,triamcinolone hexacetonide,Alopecia areata
4976,triamcinolone hexacetonide,Discoid lupus erythematosus
4976,triamcinolone hexacetonide,Keloid scar
4976,triamcinolone hexacetonide,Lichen planus
4976,triamcinolone hexacetonide,Lichen simplex chronicus
4976,triamcinolone hexacetonide,Necrobiosis lipoidica diabeticorum
4977,siltuximab,Angiofollicular lymph node hyperplasia
196,amfetaminil,Narcolepsy
4978,etanercept,Rheumatoid arthritis
4978,etanercept,Juvenile idiopathic arthritis
4978,etanercept,Psoriasis with arthropathy
4978,etanercept,Ankylosing spondylitis
4978,etanercept,Plaque psoriasis
3531,roflumilast,Severe chronic obstructive pulmonary disease
4979,trastuzumab,HER2 positive carcinoma of breast
4941,palbociclib,Human epidermal growth factor 2 negative carcinoma of breast
4941,palbociclib,Hormone receptor positive malignant neoplasm of breast
4942,lenvatinib,Follicular thyroid carcinoma
4942,lenvatinib,Papillary thyroid carcinoma
4943,arformoterol,Chronic obstructive lung disease
4943,arformoterol,Chronic bronchitis
4943,arformoterol,Pulmonary emphysema
4829,apremilast,Plaque psoriasis
4944,tenofovir alafenamide,HIV / AIDS (Human immunodeficiency virus infection)
1021,epalrestat,Diabetic neuropathy
4682,panobinostat,Multiple myeloma
4946,avibactam,Pyelonephritis
4946,avibactam,Bacterial urinary infection
4946,avibactam,Infectious disease of abdomen
1137,febuxostat,Hyperuricemia
4110,tolvaptan,"Polycystic kidney disease, adult type"
4923,nivolumab,Squamous cell carcinoma of lung
2594,tenonitrozole,Infection by Trichomonas
166,aminolevulinic acid,Fluorescent stain
2408,roxatidine acetate,Gastroesophageal reflux disease
2408,roxatidine acetate,Zollinger Ellison syndrome
4918,idursulfase,"Mucopolysaccharidosis, MPS II"
4919,decamethoxine,Antiseptic preparation
3881,benzydamine,Pain
77,acitazanolast,Allergic conjunctivitis
2570,tazanolast,Allergic conjunctivitis
4920,finafloxacin,Acute otitis externa
343,beraprost,Pulmonary arterial hypertension
4921,safinamide,Parkinson's disease
4922,ceftolozane,Urinary tract infectious disease
4922,ceftolozane,Infectious disease of abdomen
1166,fenticonazole,Candidal vulvovaginitis
3548,sitaxentan,Pulmonary arterial hypertension
4923,nivolumab,Metastatic malignant melanoma
4164,liraglutide,Weight loss
4157,lercanidipine,Hypertensive disorder
2655,tibolone,Postmenopausal osteoporosis
4924,pembrolizumab,Metastatic malignant melanoma
2864,zipeprol,Cough
4150,rimonabant,Obesity
2361,reboxetine,Major depressive disorder
362,bezafibrate,Hypercholesterolemia
4516,tetracosactide,Cosyntropin preparation
2658,tienilic acid,Hypertensive disorder
4145,lutein,Age related macular degeneration
4145,lutein,Tear film insufficiency
4145,lutein,Meibomian gland dysfunction
4915,blinatumomab,Pre B cell acute lymphoblastic leukemia
2368,reproterol,Asthma
4190,ruxolitinib,Polycythemia vera
1579,lidocaine,Premature ejaculation
2265,prilocaine,Premature ejaculation
2371,retapamulin,Superficial bacterial infection of skin
4916,aflibercept,Exudative age related macular degeneration
4916,aflibercept,Central retinal vein occlusion with macular edema
4916,aflibercept,Branch retinal vein occlusion with macular edema
4916,aflibercept,Diabetic macular edema
4916,aflibercept,Metastasis from malignant tumor of colon
3961,ilaprazole,Gastroesophageal reflux disease
4898,netupitant,Chemotherapy induced nausea and vomiting
4899,ledipasvir,Chronic hepatitis C
2408,roxatidine acetate,Gastric ulcer
2070,pazufloxacin,Sepsis due to Streptococcus pneumoniae
4900,diquafosol,Tear film insufficiency
4901,insulin glargine,Diabetes mellitus type 1
4901,insulin glargine,Diabetes mellitus type 2
1537,lafutidine,Gastro esophageal reflux disease with esophagitis
272,azelnidipine,Hypertensive disorder
4902,imidafenacin,Bladder muscle dysfunction overactive
1638,maxacalcitol,Pustular psoriasis
972,duloxetine,Female stress incontinence
4903,nintedanib,Hamman Rich syndrome
4904,adalimumab,Rheumatoid arthritis
4904,adalimumab,Juvenile idiopathic arthritis
4904,adalimumab,Psoriasis with arthropathy
4904,adalimumab,Ankylosing spondylitis
4904,adalimumab,Crohn's disease
4904,adalimumab,Ulcerative colitis
4904,adalimumab,Plaque psoriasis
322,benznidazole,Infection by Trypanosoma cruzi
873,diethylcarbamazine,Lymphatic filariasis
990,eflornithine,African trypanosomiasis
3336,melarsoprol,African trypanosomiasis
1929,nifurtimox,Infection by Trypanosoma cruzi
4020,sodium stibogluconate,Leishmaniasis
2966,suramin,African trypanosomiasis
2090,pentamidine,African trypanosomiasis
4885,dulaglutide,Diabetes mellitus type 2
2782,tulobuterol,Asthma
2782,tulobuterol,Pulmonary emphysema
1987,olprinone,Acute heart failure
294,beclometasone dipropionate,Vasomotor rhinitis
429,bunazosin,Essential hypertension
641,cilazapril,Hypertensive disorder
2760,tripamide,Essential hypertension
2665,tilisolol,Essential hypertension
2665,tilisolol,Angina pectoris
1424,imidapril,Hypertensive disorder
4886,cetilistat,Obesity
2733,trichlormethiazide,Hypertensive disorder
4887,favipiravir,Influenza
1406,ibudilast,Asthma
4884,calfactant,Respiratory distress syndrome in the newborn
4299,cobicistat,HIV / AIDS (Human immunodeficiency virus infection)
2588,temoporfin,Neoplasm of head and neck
2588,temoporfin,Squamous cell carcinoma
4879,enoxaparin sodium,Deep venous thrombosis
4880,glatiramer acetate,Multiple sclerosis
4678,oritavancin,Bacterial infection of skin
4678,oritavancin,Staphylococcal infection of skin
4678,oritavancin,Streptococcal infection of skin
3180,enviomycin,Pulmonary tuberculosis
4881,suvorexant,Insomnia
831,dexetimide,Neuroleptic induced Parkinsonism
4834,eliglustat,Glucosylceramide beta glucosidase deficiency
1512,itopride,Chronic gastritis
4607,ubidecarenone,Congestive heart failure
2779,troxipide,Gastric ulcer
4882,istradefylline,Parkinson's disease
1917,nicomol,Hyperlipidemia
362,bezafibrate,Hyperlipidemia
4874,efinaconazole,Onychomycosis of toenails
4874,efinaconazole,Onychomycosis due to dermatophyte
4874,efinaconazole,Onychomycosis due to Trichophyton mentagrophytes
4875,daclatasvir,Chronic hepatitis C
4876,belinostat,Peripheral T cell lymphoma
1404,ibandronic acid,Hypercalcemia
1118,everolimus,Angiomyolipoma of kidney
2595,tenoxicam,Arthritis
4877,tavaborole,Onychomycosis of toenails
4877,tavaborole,Onychomycosis due to dermatophyte
4877,tavaborole,Onychomycosis due to Trichophyton mentagrophytes
4877,tavaborole,Onychomycosis due to Trichophyton rubrum
4878,idelalisib,"Chronic lymphoid leukemia, disease"
4878,idelalisib,Follicular non Hodgkin's lymphoma
4878,idelalisib,Malignant lymphoma small lymphocytic
777,dalbavancin,Staphylococcal infection of skin
777,dalbavancin,Bacterial infection of skin
4873,tedizolid phosphate,Staphylococcal infection of skin
4873,tedizolid phosphate,Bacterial infection of skin
4873,tedizolid phosphate,Streptococcal infection of skin
1238,formestane,Carcinoma of female breast
2857,zaleplon,Disorders of initiating and maintaining sleep
4871,calcium polystyrene sulfonate,Hyperkalemia
4872,ataluren,Duchenne muscular dystrophy
777,dalbavancin,Infection of skin AND/OR subcutaneous tissue
1796,mianserin,Major depressive disorder
4741,bedaquiline,Drug resistant tuberculosis
1602,loprazolam,Insomnia
4865,mebanazine,Depressive disorder
3632,methylchromone,Angina pectoris
4382,mirabegron,Bladder muscle dysfunction overactive
4857,estrone sulphate,Atrophic vaginitis
4857,estrone sulphate,Female hypogonadism syndrome
3355,methyl nicotinate,Joint pain
3627,trichloroacetic acid,Condyloma acuminatum
4866,ceritinib,Non small cell lung cancer
2201,piretanide,Edema
2201,piretanide,Hypertensive disorder
600,chlormadinone,Menorrhagia
600,chlormadinone,Endometriosis
2557,talinolol,Hypertensive disorder
1993,opipramol,Depressive disorder
4868,umifenovir,Influenza
4867,dexrabeprazole,Gastroesophageal reflux disease
4867,dexrabeprazole,Zollinger Ellison syndrome
4867,dexrabeprazole,Peptic reflux disease
4867,dexrabeprazole,Erosive esophagitis
4832,naloxegol,Therapeutic opioid induced constipation
4833,gemigliptin,Diabetes mellitus type 2
4835,ethacizine,Ventricular arrhythmia
4835,ethacizine,Supraventricular arrhythmia
4836,afamelanotide,Erythropoietic protoporphyria
4495,aluminium chlorohydrate,Hyperhidrosis
4839,aprotinin,Hemorrhage
4840,bemiparin,Pulmonary embolism
4840,bemiparin,Deep venous thrombosis
4842,calcium glubionate,Hypocalcemia
4843,calcium lactate gluconate,Hypocalcemia
4844,calcium levulinate,Hypocalcemia
4846,ecallantide,Hereditary angioneurotic edema
2726,triamcinolone acetonide,Seasonal allergic rhinitis
1480,iproniazid,Depressive disorder
3065,carbarsone,Acute amebiasis
1810,miltefosine,Cutaneous leishmaniasis
1810,miltefosine,American mucocutaneous leishmaniasis
4829,apremilast,Psoriasis with arthropathy
4830,empagliflozin,Diabetes mellitus type 2
4799,vilanterol,Asthma
4554,fluticasone furoate,Asthma
4831,vintafolide,Malignant epithelial tumor of ovary
971,droxidopa,Orthostatic hypotension
2303,propranolol,Hemangioma
4825,laquinimod,Relapsing remitting multiple sclerosis
4826,metreleptin,Congenital generalized lipodystrophy
4826,metreleptin,Acquired generalized lipodystrophy
4826,metreleptin,Acquired partial lipodystrophy
2638,thiotepa,Allogeneic bone marrow transplantation
3442,phenoxyethanol,Antiseptic preparation
4742,bleomycin,Malignant tumor of cervix
395,brimonidine,Rosacea
4818,florbetaben F18,Positron emission tomography
1118,everolimus,Carcinoma of breast
1118,everolimus,Hormone receptor positive malignant neoplasm of breast
2480,stiripentol,Myoclonic seizure
2480,stiripentol,Severe myoclonic epilepsy in infancy
4756,polaprezinc,Peptic ulcer
4819,delamanid,Drug resistant tuberculosis
790,decitabine,"Acute myeloid leukemia, disease"
823,detajmium,Ventricular arrhythmia
823,detajmium,Supraventricular arrhythmia
1299,gliclazide,Diabetes mellitus type 2
4820,tasimelteon,Non 24 hour sleep wake cycle
4774,etohexadiol,Insect repellent
4116,telavancin,Bacterial pneumonia
4806,vortioxetine,Major depressive disorder
483,captodiame,Anxiety disorder
147,ambroxol,Sore throat symptom
981,ecabet,Peptic ulcer
3839,tasosartan,Hypertensive disorder
3522,reserpiline,Hypertensive disorder
2591,tenitramine,Angina pectoris
2354,ramatroban,Allergic rhinitis
4418,diethyltoluamide,Insect repellent
4413,dibromotyrosine,Hyperthyroidism
4412,diamorphine,Severe pain
715,clortermine,Anorexia nervosa
2223,plicamycin,Malignant tumor of testis
4788,mercurochrome,Antiseptic preparation
4752,levobetaxolol,Open angle glaucoma
4752,levobetaxolol,Ocular hypertension
2427,secnidazole,Giardiasis
2427,secnidazole,Infection by Trichomonas
497,carbimazole,Hyperthyroidism
497,carbimazole,Graves' disease
1810,miltefosine,Visceral leishmaniasis
2435,sertindole,Schizophrenia
2747,trimazosin,Hypertensive disorder
4807,riociguat,Chronic thromboembolic pulmonary hypertension
4807,riociguat,Pulmonary arterial hypertension
4808,ipidacrine,Alzheimer's disease
2703,tolperisone,Spasticity
4809,macitentan,Pulmonary arterial hypertension
2173,pinacidil,Hypertensive disorder
958,doxifluridine,Primary malignant neoplasm of gastrointestinal tract
4301,Flutemetamol (18F),Positron emission tomography
4622,linaclotide,Irritable bowel syndrome
3644,vinflunine,Transitional cell carcinoma
4300,elvitegravir,HIV / AIDS (Human immunodeficiency virus infection)
2044,paclitaxel,Secondary malignant neoplasm of pancreas
1429,imiquimod,Verruca
2104,perflutren,Echocardiography
2998,teicoplanin,Staphylococcal infectious disease
4233,sugammadex,Reversal of neuromuscular blockade
4716,ponatinib,Philadelphia chromosome positive acute lymphoblastic leukemia
4804,palifermin,Mucositis following radiation therapy
4804,palifermin,Drug induced mucositis
4141,udenafil,Impotence
2672,tinoridine,Pain
4113,prasugrel,Acute coronary syndrome
2063,parecoxib,Acute postoperative pain
4634,teriflunomide,Multiple sclerosis
4365,vernakalant,Atrial fibrillation
1807,miglustat,"Niemann Pick disease, type C"
4318,afatinib,"Non small cell lung cancer, positive for epidermal growth factor receptor expression"
4303,eslicarbazepine acetate,Partial seizure
4641,levmetamfetamine,Nasal congestion
4622,linaclotide,Irritable bowel syndrome characterized by constipation
4622,linaclotide,Chronic idiopathic constipation
2230,prajmalium,Ventricular arrhythmia
654,cinnarizine,Vertigo
654,cinnarizine,Nausea
654,cinnarizine,Motion sickness
1298,glibornuride,Diabetes mellitus type 2
4805,dolutegravir,HIV / AIDS (Human immunodeficiency virus infection)
43,aceclofenac,Rheumatoid arthritis
43,aceclofenac,Ankylosing spondylitis
43,aceclofenac,Osteoarthritis
43,aceclofenac,Adhesive capsulitis of shoulder
43,aceclofenac,Backache
4794,gramicidin,Bacterial conjunctivitis
4794,gramicidin,Infective blepharitis
4794,gramicidin,Blepharoconjunctivitis
4794,gramicidin,Bacterial keratitis
4785,sinecatechins,Condyloma acuminatum
4785,sinecatechins,Perianal warts
4779,sodium picosulfate,Colonoscopy
4706,sodium aurothiomalate,Rheumatoid arthritis
2027,oxprenolol,Hypertensive disorder
2027,oxprenolol,Angina pectoris
2027,oxprenolol,Ventricular arrhythmia
2027,oxprenolol,Anxiety
1930,nifurtoinol,Urinary tract infectious disease
4116,telavancin,Pneumonia due to Staphylococcus aureus
4727,tacalcitol,Plaque psoriasis
4723,succinimide,Primary hyperoxaluria
579,ceruletide,Diagnostic aid
4797,sodium nitrite,Toxic effect of cyanide
4790,sodium hypochlorite,Infection of skin AND/OR subcutaneous tissue
4684,perampanel,Partial seizure
4665,brilliant green,Infection protection
4653,chloramphenicol succinate,Salmonella infection
4653,chloramphenicol succinate,Typhoid fever
4179,gadobutrol,Magnetic resonance imaging
3035,boric acid,Antiseptic preparation
2105,pergolide,Parkinsonism
99,agomelatine,Major depressive disorder
2878,ziconotide,Pain in spine
4184,ticagrelor,Peripheral vascular disease
4192,tafamidis,Amyloidosis
4190,ruxolitinib,Myeloproliferative disorder
4188,deferiprone,beta Thalassemia
4188,deferiprone,Iron overload
4799,vilanterol,Chronic bronchitis
4799,vilanterol,Pulmonary emphysema
4799,vilanterol,Chronic obstructive lung disease
4800,radium Ra 223 dichloride,Malignant tumor of prostate
4326,laropiprant,Dyslipidemia
4285,Florbetapir F 18,Positron emission tomography
2960,mifamurtide,Osteosarcoma of bone
4473,prepopik,Colonoscopy
3391,noxytiolin,Infective cystitis
205,amyl nitrite,Toxic effect of cyanide
3229,fumaric acid,Psoriasis
1921,nicotinyl alcohol,MÃÂ©niÃÂ¨re's disease
1921,nicotinyl alcohol,Hyperlipidemia
1263,aminohydroxybutyric acid,Epilepsy
166,aminolevulinic acid,Actinic keratosis
4677,omacetaxine mepesuccinate,Chronic myeloid leukemia
4180,fidaxomicin,Clostridium difficile infection
4148,epicriptine,Senile dementia
